	Movie Name	Release Year	Directors Name	Production Company	Budget
251	('The Blood of Yingzhou District', '/wiki/The_Blood_of_Yingzhou_District')	('2006', '/wiki/2006_in_film')			
252	('Crash', '/wiki/Crash_(2004_film)')	('2005', '/wiki/2005_in_film')			
253	('Brokeback Mountain', '/wiki/Brokeback_Mountain')	('2005', '/wiki/2005_in_film')			
254	('Memoirs of a Geisha', '/wiki/Memoirs_of_a_Geisha_(film)')	('2005', '/wiki/2005_in_film')			
255	('King Kong', '/wiki/King_Kong_(2005_film)')	('2005', '/wiki/2005_in_film')			
256	('Capote', '/wiki/Capote_(film)')	('2005', '/wiki/2005_in_film')			
257	('Walk the Line', '/wiki/Walk_the_Line')	('2005', '/wiki/2005_in_film')			
258	('The Constant Gardener', '/wiki/The_Constant_Gardener_(film)')	('2005', '/wiki/2005_in_film')			
259	('The Chronicles of Narnia: The Lion, the Witch and the Wardrobe', '/wiki/The_Chronicles_of_Narnia:_The_Lion,_the_Witch_and_the_Wardrobe')	('2005', '/wiki/2005_in_film')			
260	('Hustle & Flow', '/wiki/Hustle_%26_Flow')	('2005', '/wiki/2005_in_film')			
261	('Syriana', '/wiki/Syriana')	('2005', '/wiki/2005_in_film')			
262	"(""March of the Penguins (La Marche de l'empereur)"", '/wiki/March_of_the_Penguins')"	('2005', '/wiki/2005_in_film')			
263	('Six Shooter', '/wiki/Six_Shooter_(film)')	('2005', '/wiki/2005_in_film')			
264	('The Moon and the Son: An Imagined Conversation', '/wiki/The_Moon_and_the_Son:_An_Imagined_Conversation')	('2005', '/wiki/2005_in_film')			
265	('A Note of Triumph: The Golden Age of Norman Corwin', '/wiki/A_Note_of_Triumph:_The_Golden_Age_of_Norman_Corwin')	('2005', '/wiki/2005_in_film')			
266	('Tsotsi', '/wiki/Tsotsi')	('2005', '/wiki/2005_in_film')			
267	('Wallace & Gromit: The Curse of the Were-Rabbit', '/wiki/Wallace_%26_Gromit:_The_Curse_of_the_Were-Rabbit')	('2005', '/wiki/2005_in_film')			
268	('Million Dollar Baby', '/wiki/Million_Dollar_Baby')	('2004', '/wiki/2004_in_film')			
269	('The Aviator', '/wiki/The_Aviator_(2004_film)')	('2004', '/wiki/2004_in_film')			
270	('Ray', '/wiki/Ray_(film)')	('2004', '/wiki/2004_in_film')			
271	('The Incredibles', '/wiki/The_Incredibles')	('2004', '/wiki/2004_in_film')			
272	('Finding Neverland', '/wiki/Finding_Neverland_(film)')	('2004', '/wiki/2004_in_film')			
273	('Sideways', '/wiki/Sideways')	('2004', '/wiki/2004_in_film')			
274	"(""Lemony Snicket's A Series of Unfortunate Events"", '/wiki/Lemony_Snicket%27s_A_Series_of_Unfortunate_Events')"	('2004', '/wiki/2004_in_film')			
